Time (min),Blood Glucose (mg/dl),Sensor Glucose Readings(mg/dl)
1,115.3404418866293,145.3192009977034
2,114.9118198113975,144.9258925088641
3,114.4859372541617,144.4806439440769
4,114.0629107574872,143.983659517882
5,113.642850660973,143.4351352700936
6,113.2258613136839,142.8352592529843
7,112.8120412816793,142.1842117205179
8,112.4014835505931,141.4821653190025
9,111.9942757232409,140.7610780423256
10,111.5905002122409,140.0211078963043
11,111.19023442765,139.2624058540863
12,110.7935509596318,138.485116047225
13,110.4005177561775,137.6893759557726
14,110.0111982959186,136.8753165970344
15,109.6256517560719,136.0430627126662
16,109.2439331755701,135.1927329538277
17,108.8660936134354,134.3244400641357
18,108.4921803023855,133.4382910602
19,108.1225366348306,132.5343932878935
20,107.759851733184,131.6129698705481
21,107.4054509989878,130.6744722693674
22,107.0533378700173,129.7190850598307
23,106.6975652281728,128.7463754076665
24,106.335408331906,127.785317140377
25,105.9673219113498,126.8350937945725
26,105.6002032824966,125.8952581181372
27,105.2546117519902,124.966581898535
28,104.9724489052587,124.0525571833236
29,104.8142859800067,123.1610679429568
30,104.8432125193673,122.3049941825775
31,105.1107560622865,121.5012665051316
32,105.6545582947791,120.7692764407992
33,106.5023652935534,120.1295700044413
34,107.6749638236096,119.6030256567465
35,109.1839072028397,119.2100987414353
36,111.0337683617192,118.9701019324741
37,113.2236716224407,118.9007668503584
38,115.7479771729488,119.0179282787897
39,118.5968401364905,119.3050995407018
40,121.7566658315811,119.773693135615
41,125.2104809360213,120.4327142357881
42,128.9382398538237,121.28868769085
43,132.9170866467535,122.3456169805667
44,137.1215952075186,123.6049692576048
45,141.5240131894945,125.0656833200848
46,146.0945371861079,126.7242000378133
47,150.8016458187844,128.5745172640663
48,155.6125117197362,130.6082732643259
49,160.493501736663,132.8148637314508
50,165.4107578546281,135.1815971003624
51,170.330832620685,137.6938909171894
52,175.221337314969,140.3355086567035
53,180.0515535579645,143.0888322601406
54,184.7929618404221,146.0914132755301
55,189.4196524200078,149.32378470808
56,193.9086011256398,152.7660301063058
57,198.2398099580995,156.3980910856884
58,202.3955296730592,160.2000319232841
59,206.3606602066305,164.1522068253751
60,210.1241922244148,168.2355810943
61,213.6777322786869,172.4319644912999
62,217.0152480714899,176.7241581025443
63,220.1328250192259,181.096066524313
64,223.028422996599,185.5327779754464
65,225.7016419048475,190.0206156612588
66,228.153501530227,194.5471640408275
67,230.3862387398553,199.1012736967876
68,232.4031233204294,203.6730483638584
69,234.2082925759999,208.0750076693674
70,235.8066040352118,212.2996675272879
71,237.2035051624048,216.3406823544418
72,238.4049187283847,220.1927903539085
73,239.4171424048002,223.851754067789
74,240.2467611489335,227.3142978392391
75,240.9005710064446,230.5780435495924
76,241.385513052804,233.6414457540615
77,241.7086163028375,236.5037271281813
78,241.8769485310349,239.1648149549023
79,241.8975740562648,241.6252792265157
80,241.7775176493648,243.8862728036
81,241.5237338186759,245.9494739621437
82,241.1430808161429,247.8170315672272
83,240.6422987850196,249.4915130346901
84,240.0279915398873,250.9844939890226
85,239.3066115312144,252.299234422972
86,238.4844476008162,253.4392742243505
87,237.5676151820508,254.4083928000053
88,236.5620486401845,255.2105715513029
89,235.4734954847579,255.8499591246027
90,234.3075122176376,256.3308393444349
91,233.0694616083189,256.6576017254415
92,231.7645112124611,256.834714450874
93,230.3976329710467,256.8666996999776
94,228.973603746344,256.7581112034272
95,227.497006667371,256.5135139046808
96,225.9722331720912,256.1374656053293
97,224.4034856463911,255.6345004739431
98,222.7947805712048,255.0091143002942
99,221.149952099161,254.2294772828655
100,219.472655990995,253.2999706266694
101,217.7663738498398,252.2249022616625
102,216.0344175985027,251.008497967287
103,214.2799341510625,249.6548937078536
104,212.5059102356722,248.1681290852767
105,210.7151773304099,246.5521418204418
106,208.9104166784484,244.8107631792365
107,207.0941643527819,242.9477142639849
108,205.2688163442999,240.9666030956449
109,203.436633650185,238.8709224166316
110,201.5997473424715,236.6640481485074
111,199.7601635991725,234.3492384429968
112,197.9196636719617,231.929631481505
113,196.0793751826768,229.4082109262689
114,194.2408587760992,226.9228740262853
115,192.4057118444147,224.4763439328386
116,190.5754262647709,222.0712376246782
117,188.7513939403956,219.7100662230573
118,186.9349120159672,217.3952357618186
119,185.1271878100392,215.1290483442984
120,183.3293434981549,212.9137036283735
121,181.5424205731995,210.7513005889463
122,179.7673841040628,208.6438395138528
123,178.0051268094701,206.5932241948367
124,176.2564729606015,204.6012642800454
125,174.5221821236472,202.669677758631
126,172.8029527515556,200.8000935515998
127,171.0994256327997,198.9940541861428
128,169.41218720391,197.2530185333863
129,167.7417727317064,195.4954536713423
130,166.0886693705611,193.7226595395739
131,164.4533190995763,191.9358608486835
132,162.8361215442362,190.1362099146586
133,161.2374366868535,188.3247894869605
134,159.6575874699679,186.5026155611044
135,158.0968622967323,184.6706401676763
136,156.5555174322463,182.8297541308204
137,155.0337793097461,180.9807897902081
138,153.5318467455273,179.1245236813911
139,152.0498930664648,177.2616791702472
140,150.5880681539884,175.3929290379592
141,149.1465004083807,173.5188980136406
142,147.7252986372742,171.6401652523212
143,146.3245538722449,169.7572667565715
144,144.9443411174258,167.8891915050867
145,143.5847210340916,166.0363962292995
146,142.2457415652063,164.1993014249579
147,140.9274395039685,162.3782935405505
148,139.6298420104423,160.5737271075461
149,138.3529680804241,158.7859268131996
150,137.0968299707687,157.0151895169869
151,135.8614345854826,155.2617862120212
152,134.6467848269945,153.5259639330698
153,133.4528809171271,151.8079476130507
154,132.2797216924269,150.1079418901296
155,131.1273058786683,148.4261328677741
156,129.99563334952,146.7626898303516
157,128.8847063745677,145.117766917081
158,127.7945308621193,143.4915047573755
159,126.7251176024768,141.9188140289078
160,125.6764835176604,140.3998131096133
161,124.6486529238996,138.9346115757827
162,123.6416588135822,137.5233117179474
163,122.6555441637672,136.1660100368721
164,121.6903632788314,134.8627987241769
165,120.7461831753293,133.61376713241
166,119.8230850177065,132.4190032397095
167,118.9211656141172,131.278595114534
168,118.0405389822545,130.1926323863154
169,117.1813379958077,129.1612077282773
170,116.3437161228975,128.1844183590967
171,115.5278492686096,127.2623675705353
172,114.7339377345137,126.3951662886573
173,113.9622083088035,125.5829346767536
174,113.2129165013715,124.8008557460947
175,112.4863489386869,124.0490731538237
176,111.7828259336897,123.3277449425158
177,111.1027042459307,122.6370454017455
178,110.4463800467213,121.9771670197792
179,109.8142921028922,121.3483225363634
180,109.206925190598,120.7507471077294
181,108.6248137470701,120.1847005948099
182,108.0685457627756,119.650469985156
183,107.5387669084186,119.1483719579733
184,107.0361848797075,118.6787555998546
185,106.5615739266571,118.2420052758652
186,106.1157795118968,117.8385436562675
187,105.6997230121354,117.4688348928234
188,105.3144063362657,117.1333879296687
189,104.9609162797698,116.7619832266776
190,104.6404283648763,116.3552296298366
191,104.3542098258044,115.9137911537531
192,104.1036212849601,115.4383903586467
193,103.8901165264539,114.9298114923691
194,103.7152396070992,114.3889032139915
195,103.5806183553163,113.8165806551084
196,103.4879531050288,113.2138265022514
197,103.4389993151258,112.5816906993995
198,103.4355425708385,111.9212882766887
199,103.4793644061536,111.23379471695
200,103.5721975020989,110.5204381878528
201,103.7156691976018,109.7824879129522
202,103.9112329937574,109.0212379556185
203,104.1600889084384,108.2379857768224
204,104.4630951448958,107.5075998293149
205,104.8206754514875,106.8312973150862
206,105.2327284868723,106.2102006893366
207,105.6985470336879,105.6452951360424
208,106.2167555270984,105.1373833744605
209,106.7852736792064,104.687040051153
210,107.4013118577056,104.2945683827803
211,108.061400580312,103.9599618404498
212,108.7614526413454,103.6828734532072
213,109.4968527962554,103.4625947737864
214,110.262567308587,103.2980457801252
215,111.0532644187175,103.187776111212
216,111.86343694353,103.12997719256
217,112.6875194622013,103.1225041058891
218,113.5199944270695,103.1629055648321
219,114.3554836036246,103.2872914323832
220,115.1888231423815,103.4927104457065
221,116.0151221167164,103.7760243254561
222,116.829805455589,104.1339512395994
223,117.6286428815397,104.5631085660936
224,118.4077658050342,105.0600538458063
225,119.1636742148081,105.6213230980206
226,119.8932355241877,106.243465926233
227,120.5936771543517,106.9230770621767
228,121.2625744084332,107.6568241777888
229,121.8978349502671,108.4414719390228
230,122.4976809703359,109.2739023852976
231,123.0606299112407,110.1511317984586
232,123.5854744413327,111.070324280274
233,124.0712622092314,112.0288022924248
234,124.5172757825653,112.9393061688969
235,124.923013068829,113.7994959325647
236,125.2881684316247,114.6072061151243
237,125.6126146485722,115.3604469008458
238,125.8963858048305,116.057403586007
